INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 133 packages in 64ms
Audited 126 packages in 666ms
run_start config=config/simulation_abx.yml days=1000 hospitals=6 susceptible=300 seed_carriers=40 micro_steps_per_day=12 micro_workers=300 seed=42
day=088 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1524
day=089 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1539
day=090 susceptible=0000 carriers=0300 avg_resistant_fraction=0.1561
day=091 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1609
day=092 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1625
day=093 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1668
day=094 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1680
day=095 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1657
day=096 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1693
day=097 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1693
day=098 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1725
day=099 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1756
day=100 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1776
day=101 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1792
day=102 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1817
day=103 susceptible=0003 carriers=0297 avg_resistant_fraction=0.1857
day=104 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1886
day=105 susceptible=0004 carriers=0296 avg_resistant_fraction=0.1896
day=106 susceptible=0002 carriers=0298 avg_resistant_fraction=0.1906
day=107 susceptible=0001 carriers=0299 avg_resistant_fraction=0.1984
day=108 susceptible=0001 carriers=0299 avg_resistant_fraction=0.2015
day=109 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2072
day=110 susceptible=0002 carriers=0298 avg_resistant_fraction=0.2087
day=111 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2109
day=112 susceptible=0003 carriers=0297 avg_resistant_fraction=0.2123
