INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 132 packages in 36ms
Audited 124 packages in 383ms
run_start config=/workspace/shared/config_realistic.yml days=365 hospitals=15 susceptible=9800 seed_carriers=200 micro_steps_per_day=12 micro_workers=300 seed=42
day=087 susceptible=0519 carriers=0507 avg_resistant_fraction=0.0004
day=088 susceptible=0497 carriers=0520 avg_resistant_fraction=0.0005
day=089 susceptible=0495 carriers=0519 avg_resistant_fraction=0.0011
day=090 susceptible=0497 carriers=0503 avg_resistant_fraction=0.0003
day=091 susceptible=0497 carriers=0494 avg_resistant_fraction=0.0001
day=092 susceptible=0487 carriers=0499 avg_resistant_fraction=0.0006
day=093 susceptible=0496 carriers=0491 avg_resistant_fraction=0.0002
day=094 susceptible=0487 carriers=0488 avg_resistant_fraction=0.0006
day=095 susceptible=0489 carriers=0490 avg_resistant_fraction=0.0003
day=096 susceptible=0491 carriers=0491 avg_resistant_fraction=0.0010
day=097 susceptible=0475 carriers=0503 avg_resistant_fraction=0.0006
day=098 susceptible=0480 carriers=0497 avg_resistant_fraction=0.0006
day=099 susceptible=0489 carriers=0487 avg_resistant_fraction=0.0002
day=100 susceptible=0515 carriers=0472 avg_resistant_fraction=0.0003
day=101 susceptible=0525 carriers=0460 avg_resistant_fraction=0.0000
day=102 susceptible=0526 carriers=0454 avg_resistant_fraction=0.0002
day=103 susceptible=0534 carriers=0448 avg_resistant_fraction=0.0003
day=104 susceptible=0522 carriers=0454 avg_resistant_fraction=0.0005
day=105 susceptible=0511 carriers=0459 avg_resistant_fraction=0.0003
day=106 susceptible=0500 carriers=0461 avg_resistant_fraction=0.0005
day=107 susceptible=0497 carriers=0463 avg_resistant_fraction=0.0004
day=108 susceptible=0474 carriers=0470 avg_resistant_fraction=0.0005
day=109 susceptible=0469 carriers=0466 avg_resistant_fraction=0.0004
day=110 susceptible=0472 carriers=0464 avg_resistant_fraction=0.0006
day=111 susceptible=0459 carriers=0466 avg_resistant_fraction=0.0002
day=112 susceptible=0467 carriers=0465 avg_resistant_fraction=0.0008
day=113 susceptible=0470 carriers=0470 avg_resistant_fraction=0.0003
day=114 susceptible=0485 carriers=0458 avg_resistant_fraction=0.0005
day=115 susceptible=0484 carriers=0453 avg_resistant_fraction=0.0002
day=116 susceptible=0471 carriers=0459 avg_resistant_fraction=0.0006
day=117 susceptible=0463 carriers=0458 avg_resistant_fraction=0.0009
day=118 susceptible=0465 carriers=0460 avg_resistant_fraction=0.0007
