run_start config=shared/config_abx.yml days=365 hospitals=6 susceptible=290 seed_carriers=30 micro_steps_per_day=12 micro_workers=64 seed=42
day=090 susceptible=0008 carriers=0472 avg_resistant_fraction=0.3103
day=091 susceptible=0006 carriers=0474 avg_resistant_fraction=0.3132
day=092 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3119
day=093 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3160
day=094 susceptible=0006 carriers=0474 avg_resistant_fraction=0.3188
day=095 susceptible=0007 carriers=0473 avg_resistant_fraction=0.3226
day=096 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3206
day=097 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3211
day=098 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3204
day=099 susceptible=0000 carriers=0480 avg_resistant_fraction=0.3223
day=100 susceptible=0001 carriers=0479 avg_resistant_fraction=0.3250
day=101 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3266
day=102 susceptible=0004 carriers=0476 avg_resistant_fraction=0.3264
day=103 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3283
day=104 susceptible=0006 carriers=0474 avg_resistant_fraction=0.3282
day=105 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3318
day=106 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3351
day=107 susceptible=0001 carriers=0479 avg_resistant_fraction=0.3371
day=108 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3373
day=109 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3414
day=110 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3426
day=111 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3426
day=112 susceptible=0002 carriers=0478 avg_resistant_fraction=0.3428
day=113 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3418
day=114 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3466
day=115 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3480
day=116 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3497
day=117 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3505
day=118 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3516
day=119 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3544
day=120 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3573
day=121 susceptible=0004 carriers=0476 avg_resistant_fraction=0.3581
day=122 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3548
day=123 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3608
day=124 susceptible=0004 carriers=0476 avg_resistant_fraction=0.3623
day=125 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3635
day=126 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3637
day=127 susceptible=0004 carriers=0476 avg_resistant_fraction=0.3654
day=128 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3660
day=129 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3680
day=130 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3719
day=131 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3730
day=132 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3739
day=133 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3780
day=134 susceptible=0003 carriers=0477 avg_resistant_fraction=0.3792
day=135 susceptible=0004 carriers=0476 avg_resistant_fraction=0.3825
day=136 susceptible=0005 carriers=0475 avg_resistant_fraction=0.3843
day=137 susceptible=0007 carriers=0473 avg_resistant_fraction=0.3851
day=138 susceptible=0007 carriers=0473 avg_resistant_fraction=0.3873
day=139 susceptible=0007 carriers=0473 avg_resistant_fraction=0.3898
day=140 susceptible=0008 carriers=0472 avg_resistant_fraction=0.3928
day=141 susceptible=0009 carriers=0471 avg_resistant_fraction=0.3973
day=142 susceptible=0008 carriers=0472 avg_resistant_fraction=0.4017
day=143 susceptible=0007 carriers=0473 avg_resistant_fraction=0.4067
day=144 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4111
day=145 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4131
day=146 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4154
day=147 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4198
day=148 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4204
day=149 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4225
day=150 susceptible=0000 carriers=0480 avg_resistant_fraction=0.4273
day=151 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4281
day=152 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4292
day=153 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4305
day=154 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4314
day=155 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4327
day=156 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4354
day=157 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4381
day=158 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4420
day=159 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4451
day=160 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4470
day=161 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4495
day=162 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4518
day=163 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4538
day=164 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4550
day=165 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4556
day=166 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4547
day=167 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4575
day=168 susceptible=0002 carriers=0478 avg_resistant_fraction=0.4617
day=169 susceptible=0003 carriers=0477 avg_resistant_fraction=0.4641
day=170 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4655
day=171 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4652
day=172 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4680
day=173 susceptible=0006 carriers=0474 avg_resistant_fraction=0.4714
day=174 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4744
day=175 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4775
day=176 susceptible=0006 carriers=0474 avg_resistant_fraction=0.4781
day=177 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4797
day=178 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4801
day=179 susceptible=0004 carriers=0476 avg_resistant_fraction=0.4795
day=180 susceptible=0006 carriers=0474 avg_resistant_fraction=0.4813
day=181 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4843
day=182 susceptible=0005 carriers=0475 avg_resistant_fraction=0.4851
day=183 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4861
day=184 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4855
day=185 susceptible=0000 carriers=0480 avg_resistant_fraction=0.4888
day=186 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4939
day=187 susceptible=0001 carriers=0479 avg_resistant_fraction=0.4993
day=188 susceptible=0001 carriers=0479 avg_resistant_fraction=0.5049
day=189 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5110
day=190 susceptible=0004 carriers=0476 avg_resistant_fraction=0.5151
day=191 susceptible=0001 carriers=0479 avg_resistant_fraction=0.5170
day=192 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5205
day=193 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5255
day=194 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5306
day=195 susceptible=0002 carriers=0478 avg_resistant_fraction=0.5349
day=196 susceptible=0001 carriers=0479 avg_resistant_fraction=0.5384
day=197 susceptible=0001 carriers=0479 avg_resistant_fraction=0.5438
day=198 susceptible=0002 carriers=0478 avg_resistant_fraction=0.5486
day=199 susceptible=0002 carriers=0478 avg_resistant_fraction=0.5511
day=200 susceptible=0002 carriers=0478 avg_resistant_fraction=0.5560
day=201 susceptible=0001 carriers=0479 avg_resistant_fraction=0.5592
day=202 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5616
day=203 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5670
day=204 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5689
day=205 susceptible=0005 carriers=0475 avg_resistant_fraction=0.5744
day=206 susceptible=0005 carriers=0475 avg_resistant_fraction=0.5772
day=207 susceptible=0004 carriers=0476 avg_resistant_fraction=0.5802
day=208 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5812
day=209 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5847
day=210 susceptible=0004 carriers=0476 avg_resistant_fraction=0.5917
day=211 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5942
day=212 susceptible=0003 carriers=0477 avg_resistant_fraction=0.5970
day=213 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6000
day=214 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6033
day=215 susceptible=0004 carriers=0476 avg_resistant_fraction=0.6091
day=216 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6119
day=217 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6153
day=218 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6184
day=219 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6194
day=220 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6232
day=221 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6248
day=222 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6255
day=223 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6253
day=224 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6303
day=225 susceptible=0000 carriers=0480 avg_resistant_fraction=0.6320
day=226 susceptible=0000 carriers=0480 avg_resistant_fraction=0.6350
day=227 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6393
day=228 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6430
day=229 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6418
day=230 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6442
day=231 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6516
day=232 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6570
day=233 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6569
day=234 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6612
day=235 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6632
day=236 susceptible=0001 carriers=0479 avg_resistant_fraction=0.6664
day=237 susceptible=0000 carriers=0480 avg_resistant_fraction=0.6676
day=238 susceptible=0002 carriers=0478 avg_resistant_fraction=0.6704
day=239 susceptible=0006 carriers=0474 avg_resistant_fraction=0.6735
day=240 susceptible=0005 carriers=0475 avg_resistant_fraction=0.6769
day=241 susceptible=0004 carriers=0476 avg_resistant_fraction=0.6802
day=242 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6838
day=243 susceptible=0003 carriers=0477 avg_resistant_fraction=0.6867
day=244 susceptible=0005 carriers=0475 avg_resistant_fraction=0.6884
day=245 susceptible=0006 carriers=0474 avg_resistant_fraction=0.6922
day=246 susceptible=0005 carriers=0475 avg_resistant_fraction=0.6956
day=247 susceptible=0004 carriers=0476 avg_resistant_fraction=0.6973
day=248 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7005
day=249 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7050
day=250 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7069
day=251 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7093
day=252 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7172
day=253 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7224
day=254 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7251
day=255 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7283
day=256 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7326
day=257 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7344
day=258 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7368
day=259 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7400
day=260 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7420
day=261 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7437
day=262 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7481
day=263 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7526
day=264 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7570
day=265 susceptible=0002 carriers=0478 avg_resistant_fraction=0.7610
day=266 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7649
day=267 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7694
day=268 susceptible=0002 carriers=0478 avg_resistant_fraction=0.7723
day=269 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7767
day=270 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7809
day=271 susceptible=0003 carriers=0477 avg_resistant_fraction=0.7826
day=272 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7854
day=273 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7872
day=274 susceptible=0004 carriers=0476 avg_resistant_fraction=0.7897
day=275 susceptible=0005 carriers=0475 avg_resistant_fraction=0.7960
day=276 susceptible=0005 carriers=0475 avg_resistant_fraction=0.7976
day=277 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8001
day=278 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8011
day=279 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8009
day=280 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8027
day=281 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8057
day=282 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8080
day=283 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8108
day=284 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8115
day=285 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8131
day=286 susceptible=0005 carriers=0475 avg_resistant_fraction=0.8148
day=287 susceptible=0005 carriers=0475 avg_resistant_fraction=0.8192
day=288 susceptible=0006 carriers=0474 avg_resistant_fraction=0.8206
day=289 susceptible=0007 carriers=0473 avg_resistant_fraction=0.8201
day=290 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8209
day=291 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8223
day=292 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8236
day=293 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8237
day=294 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8242
day=295 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8261
day=296 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8296
day=297 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8312
day=298 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8328
day=299 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8332
day=300 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8382
day=301 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8387
day=302 susceptible=0005 carriers=0475 avg_resistant_fraction=0.8391
day=303 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8431
day=304 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8454
day=305 susceptible=0006 carriers=0474 avg_resistant_fraction=0.8496
day=306 susceptible=0010 carriers=0470 avg_resistant_fraction=0.8505
day=307 susceptible=0009 carriers=0471 avg_resistant_fraction=0.8521
day=308 susceptible=0009 carriers=0471 avg_resistant_fraction=0.8523
day=309 susceptible=0011 carriers=0469 avg_resistant_fraction=0.8544
day=310 susceptible=0008 carriers=0472 avg_resistant_fraction=0.8572
day=311 susceptible=0008 carriers=0472 avg_resistant_fraction=0.8558
day=312 susceptible=0007 carriers=0473 avg_resistant_fraction=0.8619
day=313 susceptible=0007 carriers=0473 avg_resistant_fraction=0.8611
day=314 susceptible=0007 carriers=0473 avg_resistant_fraction=0.8632
day=315 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8670
day=316 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8674
day=317 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8707
day=318 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8745
day=319 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8750
day=320 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8770
day=321 susceptible=0004 carriers=0476 avg_resistant_fraction=0.8759
day=322 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8792
day=323 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8807
day=324 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8787
day=325 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8799
day=326 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8808
day=327 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8836
day=328 susceptible=0003 carriers=0477 avg_resistant_fraction=0.8848
day=329 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8876
